id,title,year,cleaned_token_count,processed_token_count
67,Sistem Penilaian Kepengawasan Menggunakan Metode Simple Additive Weighting (SAW) untuk Sekolah Menengah Pertama Berbasis Website,2025,193,104
68,Sistem Rekomendasi Kursus Pemrograman Online Berdasarkan Roadmap Berbasis Website menggunakan Kombinasi Metode Keyword Search dan Semantic Search,2025,375,234
69,Pengembangan Sistem Informasi Pengelolaan Program Kreativitas Mahasiswa (PKM) dengan Extreme Programming dan Laravel Framework Berbasis Website pada FT Unsoed,2025,307,184
70,Implementasi Algoritma K-Means Clustering Dalam Pengelompokan Data Penjualan Minuman Kopi Kemasan Siap Minum Pada Toserba Maeso Jenar,2025,350,206
71,Klasifikasi Tingkat Motivasi Belajar Siswa SMP di Kabupaten Banyumas Menggunakan Metode K-Nearest Neighbor,2025,304,176
72,Implementasi Hand Gesture Recognition sebagai Alat Kendali pada Game Fighting menggunakan OpenCV dan MediaPipe,2025,568,348
73,Implementasi Optical Character Recognition Berbasis Convolutional Neural Network Untuk Ekstraksi Data KTP-El pada Modul Pengisian Data Diri E-Magang Kementerian Luar Negeri,2025,495,297
74,Analisis Sentimen terhadap Pembaca Buku Grit: The Power of Passion and Perseverance serta Korelasinya dengan Sikap Pantang Menyerah dan Motivasi Hidup Berbasis Website,2025,426,250
75,Implementasi Automated Essay Scoring pada Penilaian Kemampuan Membaca dan Menulis Siswa SMP di Kabupaten Kuningan menggunakan Model Long Short-Term Memory berbasis Website,2025,388,224
76,Implementasi Sistem Informasi Visualisasi Peta Menggunakan Leaflet untuk Mendata Produktivitas Pertanian di Kabupaten Tegal dengan Metode Prototype,2025,399,210
77,Klasterisasi UMKM di Kabupaten Banyumas Berdasarkan Produktivitas menggunakan K-Medoids dengan Aplikasi Berbasis Website,2025,348,192
78,Implementasi Metode Forward Chaining dalam Sistem Pakar Diagnosis Penyakit Degeneratif pada Manula Berbasis Website,2025,320,178
79,Pengembangan Sistem Manajemen Inkubator Bisnis UMKM Kecamatan Patikraja Berbasis Website,2025,259,180
80,Penerapan Algoritma Hash dan Asimetris untuk Pengamanan Dokumen Digital,2025,339,181
81,Implementasi Metode Multi Objective Optimization by Ratio Analysis dengan Pembobotan Rank Order Centroid dalam Menentukan Peringkat Kelayakan Penerima Bantuan Langsung Tunai (BLT) di Desa Paseban,2025,298,171
82,Implementasi Algoritma Multiple Linear Regression untuk Standardisasi Penentuan Harga Jasa pada Bisnis Jahit,2025,411,236
83,Analisis Perbandingan Sistem Pendukung Keputusan dengan Metode Simple Multi-Attribute Rating Technique (SMART) dan Multi-Objective Optimization by Ratio Analysis (MOORA) pada Penilaian Kinerja Produk UMKM Berbasis Website,2025,445,257
84,"Analisis Perbandingan Performa Spring Boot, Flask, Express.js, Laravel FrankenPHP, dan Gin sebagai Kerangka Kerja Backend dalam Pengembangan REST API (Studi Kasus: Sistem Informasi Akademik Universitas Jenderal Soedirman)",2025,610,339
85,Sistem Informasi Sekolah Berbasis Web Dilengkapi Dengan Fitur Bot Telegram Studi Kasus SD Negeri 1 Kutasari,2025,164,86
86,Pemodelan SAW (Simple Additive Weighting) untuk Sistem Pendukung Keputusan Penjurusan Peserta Didik MTSN 3 Purbalingga,2025,230,129
87,Pengembangan Aplikasi Sistem Informasi Data UMKM dan BUM Desa Berbasis Web Menggunakan Laravel,2025,295,173
88,Implementasi Simple Multi Attribute Rating Technique Exploiting Ranks dalam Sistem Rekomendasi Pelanggan Terbaik di CV FIRMOS,2025,298,148
89,Implementasi Text - to - Text Generation dalam Pembuatan Kuis Otomatis Mengenai Candi Borobudur dengan GUI Berbasis Website,2025,242,126
90,Implementasi Wazuh Dengan Metode Pyramid Of Pain pada Keamanan Sistem PT Permodalan Nasional Madani Sebagai Pembanding Deteksi dan Respon Serangan Siber,2025,389,217
91,Analisis Data Penjualan Produk Investasi PT Pegadaian (Persero) Menggunakan Clustering K-Means++ dan Exploratory Data Analysis,2025,787,435
92,Perbandingan Performa dan Optimalisasi SEO antara Laravel Blade dan Laravel Inertia dalam Pengembangan Website Informasi Jalur Pendakian Gunung Di Indonesia muncak.id,2025,364,210
93,Penerapan Cron Job Dalam Aplikasi Sistem Informasi Kepegawaian Dan Layanan Internal SEAQIL (SIKLIS) (Studi Kasus: Seameo Qitep In Language),2025,275,137
94,Pengembangan Game Edukasi Berbasis Role Playing Game Sebagai Media Pengenalan Budaya Banyumas,2025,279,182
95,"Pengembangan Game Edukasi Berbasis Android ""Save The Nature"" menggunakan Unity untuk Meningkatkan Tingkat Kesadaran Lingkungan Siswa Sekolah Dasar dengan Menerapkan Metode Single Group Pretest-Posttest Design",2025,290,156
